successful_run_index,calc_total_setup_ms
1,804.082
2,361.729
3,567.254
4,737.025
5,574.212
6,640.141
7,640.023
8,664.892
9,913.882
10,814.246
11,667.568
12,896.842
13,635.102
14,951.824
15,668.887
16,784.062
17,658.542
18,767.338
19,597.608
20,513.958
21,812.458
22,1571.663
23,534.783
24,620.513
25,533.574
26,464.766
27,748.237
28,872.319
29,586.619
30,505.478
31,745.743
32,445.662
33,797.925
34,527.158
35,471.275
36,1298.981
37,914.711
38,697.754
39,1021.178
40,651.733
41,618.744
42,839.037
43,602.602
44,534.055
45,647.463
46,880.349
47,616.648
48,606.662
49,524.444
50,477.006
51,914.310
52,752.164
53,653.562
54,680.716
55,528.203
56,476.854
57,538.395
58,1253.845
59,612.209
60,744.357
61,552.503
62,571.572
63,852.638
64,823.167
65,997.218
66,758.263
67,772.800
68,815.042
69,718.285
70,802.335
71,690.581
72,542.545
73,658.668
74,552.660
75,728.167
76,1032.942
77,1098.451
78,660.138
79,702.611
80,607.419
81,749.382
82,615.837
83,817.394
84,691.229
85,723.602
86,1249.415
87,1587.145
88,982.069
89,490.280
90,583.716
91,627.257
92,747.204
93,438.403
94,1057.829
95,1058.668
96,815.627
97,526.100
98,763.270
99,1057.276
100,1104.142
