"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","O-Distributed Unit","Controller xApp/ FlexRIC","UDP","138","32909  >  62201 Len=96"
"2","0.000103935","Controller xApp/ FlexRIC","O-Distributed Unit","ICMP","166","Destination unreachable (Port unreachable)"
"3","0.002648493","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","74","59188  >  9999 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2620112534 TSecr=0 WS=128"
"4","0.002712960","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","74","9999  >  59188 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2245827152 TSecr=2620112534 WS=128"
"5","0.002739954","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","66","59188  >  9999 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2620112534 TSecr=2245827152"
"6","0.002918305","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","583","59188  >  9999 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=517 TSval=2620112534 TSecr=2245827152 [TCP segment of a reassembled PDU]"
"7","0.002973727","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","66","9999  >  59188 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=2245827152 TSecr=2620112534"
"8","0.003989610","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","3298","9999  >  59188 [PSH, ACK] Seq=1 Ack=518 Win=64768 Len=3232 TSval=2245827153 TSecr=2620112534 [TCP segment of a reassembled PDU]"
"9","0.004001949","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","66","59188  >  9999 [ACK] Seq=518 Ack=3233 Win=68480 Len=0 TSval=2620112535 TSecr=2245827153"
"10","0.006412640","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","2978","59188  >  9999 [PSH, ACK] Seq=518 Ack=3233 Win=68480 Len=2912 TSval=2620112538 TSecr=2245827153 [TCP segment of a reassembled PDU]"
"11","0.006471896","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","66","9999  >  59188 [ACK] Seq=3233 Ack=3430 Win=70016 Len=0 TSval=2245827156 TSecr=2620112538"
"12","0.006479617","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","137","59188  >  9999 [PSH, ACK] Seq=3430 Ack=3233 Win=68480 Len=71 TSval=2620112538 TSecr=2245827156 [TCP segment of a reassembled PDU]"
"13","0.008051438","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","1393","9999  >  59188 [PSH, ACK] Seq=3233 Ack=3501 Win=70016 Len=1327 TSval=2245827157 TSecr=2620112538 [TCP segment of a reassembled PDU]"
"14","0.048414133","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","66","59188  >  9999 [ACK] Seq=3501 Ack=4560 Win=70144 Len=0 TSval=2620112580 TSecr=2245827157"
"15","0.048531512","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","1393","9999  >  59188 [PSH, ACK] Seq=4560 Ack=3501 Win=70016 Len=1327 TSval=2245827198 TSecr=2620112580 [TCP segment of a reassembled PDU]"
"16","0.048553108","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","66","59188  >  9999 [ACK] Seq=3501 Ack=5887 Win=70144 Len=0 TSval=2620112580 TSecr=2245827198"
"17","0.609685568","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","5052","9999  >  59188 [PSH, ACK] Seq=5887 Ack=3501 Win=70016 Len=4986 TSval=2245827759 TSecr=2620112580 [TCP segment of a reassembled PDU]"
"18","0.609729080","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","66","59188  >  9999 [ACK] Seq=3501 Ack=10873 Win=80128 Len=0 TSval=2620113141 TSecr=2245827759"
"19","0.609788812","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","90","9999  >  59188 [PSH, ACK] Seq=10873 Ack=3501 Win=70016 Len=24 TSval=2245827759 TSecr=2620113141 [TCP segment of a reassembled PDU]"
"20","0.609793856","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","66","59188  >  9999 [ACK] Seq=3501 Ack=10897 Win=80128 Len=0 TSval=2620113141 TSecr=2245827759"
"21","0.609828358","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","90","59188  >  9999 [PSH, ACK] Seq=3501 Ack=10897 Win=80128 Len=24 TSval=2620113141 TSecr=2245827759 [TCP segment of a reassembled PDU]"
"22","0.650144595","Controller xApp/ FlexRIC","O-Distributed Unit","TCP","66","9999  >  59188 [ACK] Seq=10897 Ack=3525 Win=70016 Len=0 TSval=2245827800 TSecr=2620113141"
"23","0.862498029","O-Distributed Unit","O-Centralized Unit","UDP","138","42505  >  62201 Len=96"
"24","0.862677291","O-Centralized Unit","O-Distributed Unit","ICMP","166","Destination unreachable (Port unreachable)"
"25","0.871707316","O-Distributed Unit","O-Centralized Unit","ISAKMP","624","IKE_SA_INIT MID=00 Initiator Request"
"26","0.875673963","O-Centralized Unit","O-Distributed Unit","ISAKMP","649","IKE_SA_INIT MID=00 Responder Response"
"27","0.892057155","O-Distributed Unit","O-Centralized Unit","ISAKMP","590","IKE_AUTH MID=01 Initiator Request (fragment 1/5)"
"28","0.892068028","O-Distributed Unit","O-Centralized Unit","ISAKMP","590","IKE_AUTH MID=01 Initiator Request (fragment 2/5)"
"29","0.892071198","O-Distributed Unit","O-Centralized Unit","ISAKMP","590","IKE_AUTH MID=01 Initiator Request (fragment 3/5)"
"30","0.892076341","O-Distributed Unit","O-Centralized Unit","ISAKMP","590","IKE_AUTH MID=01 Initiator Request (fragment 4/5)"
"31","0.892079362","O-Distributed Unit","O-Centralized Unit","ISAKMP","350","IKE_AUTH MID=01 Initiator Request (fragment 5/5)"
"32","0.926708234","O-Centralized Unit","O-Distributed Unit","ISAKMP","590","IKE_AUTH MID=01 Responder Response (fragment 1/5)"
"33","0.926708445","O-Centralized Unit","O-Distributed Unit","ISAKMP","590","IKE_AUTH MID=01 Responder Response (fragment 2/5)"
"34","0.926708476","O-Centralized Unit","O-Distributed Unit","ISAKMP","590","IKE_AUTH MID=01 Responder Response (fragment 3/5)"
"35","0.926708507","O-Centralized Unit","O-Distributed Unit","ISAKMP","590","IKE_AUTH MID=01 Responder Response (fragment 4/5)"
"36","0.926708539","O-Centralized Unit","O-Distributed Unit","ISAKMP","318","IKE_AUTH MID=01 Responder Response (fragment 5/5)"
"37","0.927098433","O-Distributed Unit","O-Centralized Unit","ESP","170","ESP (SPI=0x0b35b167)"
"38","0.927288250","O-Centralized Unit","O-Distributed Unit","ESP","394","ESP (SPI=0x98df2560)"
"39","0.927288250","O-Centralized Unit","O-Distributed Unit","SCTP","306","INIT_ACK "
"40","0.927353810","O-Distributed Unit","O-Centralized Unit","ESP","362","ESP (SPI=0x0b35b167)"
"41","0.927447975","O-Centralized Unit","O-Distributed Unit","ESP","138","ESP (SPI=0x98df2560)"
"42","0.927447975","O-Centralized Unit","O-Distributed Unit","SCTP","50","COOKIE_ACK "
"43","0.927591021","O-Distributed Unit","O-Centralized Unit","ESP","362","ESP (SPI=0x0b35b167)"
"44","0.927654941","O-Centralized Unit","O-Distributed Unit","ESP","154","ESP (SPI=0x98df2560)"
"45","0.927654941","O-Centralized Unit","O-Distributed Unit","SCTP","62","SACK (Ack=2737875883, Arwnd=106279) "
"46","0.927945940","O-Centralized Unit","O-Distributed Unit","ESP","218","ESP (SPI=0x98df2560)"
"47","0.927945940","O-Centralized Unit","O-Distributed Unit","F1AP","126","F1SetupResponse"
"48","0.927963713","O-Distributed Unit","O-Centralized Unit","ESP","154","ESP (SPI=0x0b35b167)"
"49","4.727326043","O-Distributed Unit","O-Centralized Unit","ESP","138","ESP (SPI=0x0b35b167)"
"50","4.727496399","O-Centralized Unit","O-Distributed Unit","ESP","138","ESP (SPI=0x98df2560)"
"51","4.727496399","O-Centralized Unit","O-Distributed Unit","SCTP","50","SHUTDOWN_ACK "
"52","4.727551492","O-Distributed Unit","O-Centralized Unit","ESP","138","ESP (SPI=0x0b35b167)"
"53","9.368251347","O-Distributed Unit","O-Centralized Unit","ISAKMP","138","INFORMATIONAL MID=02 Initiator Request"
"54","9.371950886","O-Distributed Unit","O-Centralized Unit","ISAKMP","138","INFORMATIONAL MID=03 Initiator Request"
"55","9.372277572","O-Centralized Unit","O-Distributed Unit","ISAKMP","138","INFORMATIONAL MID=02 Responder Response"
"56","9.372346462","O-Centralized Unit","O-Distributed Unit","ISAKMP","138","INFORMATIONAL MID=03 Responder Response"
"57","9.394437489","O-Distributed Unit","Controller xApp/ FlexRIC","TCP","66","59188  >  9999 [RST, ACK] Seq=3525 Ack=10897 Win=80128 Len=0 TSval=2620159920 TSecr=2245827800"
